day,stakeholder_id,name,weight_before,weight_after,delta,reason,run_id,condition,seed
1,hospital,Hospital / Healthcare Services,5.0,5.0,0.0,no move today,no_cascade_seed0,no_cascade,0
1,households,Households,3.0,3.0,0.0,no move today,no_cascade_seed0,no_cascade,0
1,agriculture,Agriculture,2.0,2.0,0.0,no move today,no_cascade_seed0,no_cascade,0
1,industry,Industry / Businesses,1.0,1.0,0.0,no move today,no_cascade_seed0,no_cascade,0
1,energy_utility,Energy Utility,4.0,4.0,0.0,no move today,no_cascade_seed0,no_cascade,0
1,epa,Environmental Protection Agency,1.5,1.5,0.0,no move today,no_cascade_seed0,no_cascade,0
2,hospital,Hospital / Healthcare Services,5.0,5.3,0.3,cooperative (accept); cooperative (accept),no_cascade_seed0,no_cascade,0
2,households,Households,3.0,3.3,0.3,cooperative (accept); cooperative (accept),no_cascade_seed0,no_cascade,0
2,agriculture,Agriculture,2.0,2.3,0.3,cooperative (propose_trade); cooperative (propose_trade),no_cascade_seed0,no_cascade,0
2,industry,Industry / Businesses,1.0,1.0,0.0,objected in middle zone (legitimate); objected in middle zone (legitimate),no_cascade_seed0,no_cascade,0
2,energy_utility,Energy Utility,4.0,4.3,0.3,cooperative (accept); cooperative (accept),no_cascade_seed0,no_cascade,0
2,epa,Environmental Protection Agency,1.5,1.8,0.3,cooperative (propose_trade); cooperative (propose_trade),no_cascade_seed0,no_cascade,0
3,hospital,Hospital / Healthcare Services,5.3,5.6,0.3,cooperative (accept); cooperative (accept),no_cascade_seed0,no_cascade,0
3,households,Households,3.3,3.6,0.3,cooperative (propose_trade); cooperative (propose_trade),no_cascade_seed0,no_cascade,0
3,agriculture,Agriculture,2.3,1.9,-0.4,objected while above comfortable (strategic inflation); objected while above comfortable (strategic inflation),no_cascade_seed0,no_cascade,0
3,industry,Industry / Businesses,1.0,1.1,0.1,objected in genuine crisis; objected in genuine crisis,no_cascade_seed0,no_cascade,0
3,energy_utility,Energy Utility,4.3,4.6,0.3,cooperative (accept); cooperative (accept),no_cascade_seed0,no_cascade,0
3,epa,Environmental Protection Agency,1.8,1.8,0.0,objected in middle zone (legitimate); objected in middle zone (legitimate),no_cascade_seed0,no_cascade,0
4,hospital,Hospital / Healthcare Services,5.6,5.9,0.3,cooperative (accept); cooperative (accept),no_cascade_seed0,no_cascade,0
4,households,Households,3.6,3.9,0.3,cooperative (accept); cooperative (propose_trade),no_cascade_seed0,no_cascade,0
4,agriculture,Agriculture,1.9,2.0,0.1,objected in genuine crisis; objected in genuine crisis,no_cascade_seed0,no_cascade,0
4,industry,Industry / Businesses,1.1,1.2,0.1,objected in genuine crisis; objected in genuine crisis,no_cascade_seed0,no_cascade,0
4,energy_utility,Energy Utility,4.6,4.9,0.3,cooperative (accept); cooperative (accept),no_cascade_seed0,no_cascade,0
4,epa,Environmental Protection Agency,1.8,1.9,0.1,objected in genuine crisis; objected in genuine crisis,no_cascade_seed0,no_cascade,0
